my_rank, athread init, send_receive, stream, collide, athread join
0,0.0017,11.7698,11.5222,28.4543,64.2756,
1,0.0017,52.9475,21.5996,39.7821,1.2681,
2,0.0017,53.8032,21.5276,39.6231,0.6987,
3,0.0018,11.6294,11.4738,28.4228,64.4374,
4,0.0018,28.3419,15.2093,37.8064,34.5592,
5,0.0016,42.0807,24.8895,48.8250,0.0916,
6,0.0017,41.8253,25.1016,48.7205,0.1882,
7,0.0019,18.2853,15.1712,37.7433,44.7726,
8,0.0018,23.4330,15.2271,37.8175,39.5446,
9,0.0018,23.5219,29.5029,56.4865,6.5232,
10,0.0018,25.8671,29.5062,56.4824,4.1919,
11,0.0018,21.1294,15.1690,37.7549,41.8880,
12,0.0017,23.9363,11.5084,28.4546,52.0713,
13,0.0018,25.6857,25.5193,47.0710,17.7614,
14,0.0017,20.1988,25.5355,47.0737,23.2253,
15,0.0018,23.6872,11.4967,28.4134,52.3164,
